,A,B,C,A,B,C,A,B,C
0,235.8333,324.0343,478.3231,235.8333,324.0343,478.3231,235.8333,324.0343,478.3231
1,236.2708,325.6379,515.4564,236.2708,325.6379,515.4564,236.2708,325.6379,515.4564
2,238.0521,328.0897,517.0909,238.0521,328.0897,517.0909,238.0521,328.0897,517.0909
3,235.9063,203.462116071,514.89,235.9063,969.783911681,514.89,235.9063,298.46105,514.89
4,236.7604,268.8324,493.35259127,236.7604,268.8324,494.228727916,236.7604,268.8324,500.4906
5,237.151181348,404.048,486.0912,227.977181973,404.048,486.0912,237.08855,404.048,486.0912
6,237.4167,391.2652,516.233,237.4167,391.2652,516.233,237.4167,391.2652,516.233
7,238.6563,380.8241,493.342381805,238.6563,380.8241,486.684787983,238.6563,380.8241,475.7919
8,237.6042,388.023,435.3508,237.6042,388.023,435.3508,237.6042,388.023,435.3508
9,238.0313,206.4349,487.675,238.0313,206.4349,487.675,238.0313,206.4349,487.675
10,235.0729,237.348072299,609.193564394,235.0729,194.830763042,611.336741984,235.0729,303.2568,573.95485
11,235.5313,400.0787,660.2347,235.5313,400.0787,660.2347,235.5313,400.0787,660.2347
12,235.314951317,411.2069,621.2346,237.580239358,411.2069,621.2346,235.00005,411.2069,621.2346
13,234.4688,395.2343,611.3408,234.4688,395.2343,611.3408,234.4688,395.2343,611.3408
14,235.5,344.8221,643.0863,235.5,344.8221,643.0863,235.5,344.8221,643.0863
15,235.6354,385.6432,642.3482,235.6354,385.6432,642.3482,235.6354,385.6432,642.3482
16,234.5521,401.6234,618.197198229,234.5521,401.6234,655.493608547,234.5521,401.6234,622.64145
17,236.0,409.6489,602.9347,236.0,409.6489,602.9347,236.0,409.6489,602.9347
18,235.2396,416.8795,589.3457,235.2396,416.8795,589.3457,235.2396,416.8795,589.3457
19,235.4896,420.748600001,556.3452,235.4896,6553214.13085,556.3452,235.4896,416.8795,556.3452
20,236.9688,408.963199989,538.347,236.9688,50150578.6556,538.347,236.9688,416.8795,538.347
