,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
x1,1.0,0.95,0.95,0.97,0.97,0.99,0.95,0.97,0.98,0.98,-0.29,0.94,0.96,0.94
x2,0.95,1.0,1.0,0.99,0.99,0.92,0.99,0.99,0.98,0.98,-0.13,0.89,1.0,0.98
x3,0.95,1.0,1.0,0.99,0.99,0.92,1.0,0.99,0.98,0.99,-0.15,0.89,1.0,0.99
x4,0.97,0.99,0.99,1.0,1.0,0.95,0.99,1.0,0.99,1.0,-0.19,0.91,1.0,0.99
x5,0.97,0.99,0.99,1.0,1.0,0.95,0.99,1.0,0.99,1.0,-0.18,0.9,0.99,0.99
x6,0.99,0.92,0.92,0.95,0.95,1.0,0.93,0.95,0.97,0.96,-0.34,0.95,0.94,0.91
x7,0.95,0.99,1.0,0.99,0.99,0.93,1.0,0.99,0.98,0.99,-0.15,0.89,1.0,0.99
x8,0.97,0.99,0.99,1.0,1.0,0.95,0.99,1.0,0.99,1.0,-0.15,0.9,1.0,0.99
x9,0.98,0.98,0.98,0.99,0.99,0.97,0.98,0.99,1.0,0.99,-0.23,0.91,0.99,0.98
x10,0.98,0.98,0.99,1.0,1.0,0.96,0.99,1.0,0.99,1.0,-0.17,0.9,0.99,0.99
x11,-0.29,-0.13,-0.15,-0.19,-0.18,-0.34,-0.15,-0.15,-0.23,-0.17,1.0,-0.43,-0.16,-0.12
x12,0.94,0.89,0.89,0.91,0.9,0.95,0.89,0.9,0.91,0.9,-0.43,1.0,0.9,0.87
x13,0.96,1.0,1.0,1.0,0.99,0.94,1.0,1.0,0.99,0.99,-0.16,0.9,1.0,0.99
y,0.94,0.98,0.99,0.99,0.99,0.91,0.99,0.99,0.98,0.99,-0.12,0.87,0.99,1.0
